iso3,year,c_newinc,e_pop_num,priv_new_dx
ABW,2000,,89101,
ABW,2001,,90691,
ABW,2002,,91781,
ABW,2003,,92701,
ABW,2004,,93540,
ABW,2005,,94483,
ABW,2006,,95606,
ABW,2007,,96787,
ABW,2008,,97996,
ABW,2009,,99212,
ABW,2010,6,100341,
ABW,2011,8,101288,
ABW,2012,28,102112,
ABW,2013,11,102880,
ABW,2014,2,103594,
ABW,2015,,104257,
ABW,2016,14,104874,
ABW,2017,8,105439,
ABW,2018,5,105962,
ABW,2019,2,106442,
ABW,2020,1,106585,
ABW,2021,6,106537,
ABW,2022,5,106445,
AFG,2000,7107,19542982,
AFG,2001,10139,19688632,
AFG,2002,13794,21000256,
AFG,2003,13808,22645130,
AFG,2004,18404,23553551,
AFG,2005,21844,24411191,
AFG,2006,25475,25442944,1
AFG,2007,28769,25903301,
AFG,2008,28301,26427199,265
AFG,2009,26150,27385307,93
AFG,2010,28029,28189672,430
AFG,2011,27983,29249157,819
AFG,2012,28679,30466479,2128
AFG,2013,30507,31541209,2972
AFG,2014,31746,32716210,2826
AFG,2015,35878,33753499,771
AFG,2016,41954,34636207,1175
AFG,2017,46640,35643418,2410
AFG,2018,48420,36686784,3715
AFG,2019,52438,37769499,4276
AFG,2020,45818,38972230,4843
AFG,2021,50324,40099462,6007
AFG,2022,51749,41128771,5886
AGO,2000,16062,16394062,
AGO,2001,21713,16941587,
AGO,2002,29996,17516139,
AGO,2003,36079,18124342,
AGO,2004,35437,18771125,
AGO,2005,37175,19450959,
AGO,2006,50419,20162340,8
AGO,2007,41292,20909684,
AGO,2008,44576,21691522,
AGO,2009,41221,22507674,502
AGO,2010,44655,23364185,3829
AGO,2011,47240,24259111,4379
AGO,2012,51819,25188292,1673
AGO,2013,58607,26147002,2601
AGO,2014,53552,27128337,2713
AGO,2015,59705,28127721,2146
AGO,2016,59513,29154746,2361
AGO,2017,54401,30208628,1723
AGO,2018,66189,31273533,5926
AGO,2019,74105,32353588,8279
AGO,2020,63147,33428486,1886
AGO,2021,61691,34503774,
AGO,2022,66356,35588987,
AIA,2000,,11047,
AIA,2001,0,11344,
AIA,2002,0,11560,
AIA,2003,0,11744,
AIA,2004,0,11934,
AIA,2005,,12128,
AIA,2006,0,12325,0
AIA,2007,0,12524,
AIA,2008,,12730,
AIA,2009,,12946,
AIA,2010,1,13172,
AIA,2011,0,13341,
AIA,2012,0,13455,
AIA,2013,0,13700,
AIA,2014,1,14120,
AIA,2015,0,14525,
AIA,2016,0,14813,
AIA,2017,,15015,
AIA,2018,0,15181,
AIA,2019,,15380,
AIA,2020,,15585,
AIA,2021,0,15753,
AIA,2022,1,15857,
ALB,2000,604,3182021,
ALB,2001,555,3153612,
ALB,2002,594,3123551,
ALB,2003,555,3092991,
ALB,2004,547,3062622,
ALB,2005,506,3032634,
ALB,2006,469,3003387,
ALB,2007,438,2976084,
ALB,2008,427,2951689,
ALB,2009,445,2930541,
ALB,2010,431,2913399,
ALB,2011,422,2900654,
ALB,2012,408,2892193,
ALB,2013,474,2887014,
ALB,2014,408,2884102,
ALB,2015,415,2882481,0
ALB,2016,415,2881063,
ALB,2017,503,2879355,
ALB,2018,440,2877013,
ALB,2019,412,2873883,
ALB,2020,240,2866849,
