iso3,rfp_supplied
ARM,1
AUS,1
AZE,1
BGD,1
BLR,1
BTN,1
BWA,1
BRA,1
BFA,1
BDI,1
KHM,1
CMR,1
CAN,1
CHL,1
HKG,1
COL,1
CIV,1
CUB,1
COD,1
DOM,1
ECU,1
SLV,1
ERI,1
EST,1
SWZ,1
ETH,1
GAB,1
GEO,1
GHA,1
GRL,1
GUM,1
GTM,1
HTI,1
IND,1
IDN,1
IRN,1
JAM,1
JOR,1
KAZ,1
KEN,1
KIR,1
KGZ,1
LSO,1
LBR,1
MWI,1
MYS,2
MDV,1
MLI,1
MRT,1
MRT,1
FSM,1
MNG,1
MOZ,1
MMR,1
NAM,1
NPL,1
NGA,1
NIU,1
OMN,1
PAK,1
PNG,1
PRY,1
PER,1
PHL,1
KOR,1
MDA,1
RWA,1
SEN,1
SLE,1
SOM,1
ZAF,1
ESP,2
SWE,1
SYR,1
TJK,1
THA,1
TLS,1
TUR,1
TKM,1
UGA,1
UKR,1
ARE,1
TZA,1
USA,1
URY,1
UZB,1
VEN,1
VNM,1
YEM,1
ZMB,1
ZWE,1
