IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,AFR,Africa,Country,MLI,Mali,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPMLI2021,MLI_2021_EMOP_v01_M,,1.7,,,,,,1.7,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPIDN2021,IDN_2021_SUSENAS_v01_M,,1.97,,,,,,1.97,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,WPR,Western Pacific,Country,JPN,Japan,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPJPN2021,JPN_2021_FIES_v01_M,,11.1,,,,,,11.1,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,AMR,Americas,Country,PER,Peru,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPPER2021,PER_2021_ENAHO_v01_M,,12.59,,,,,,12.59,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,WPR,Western Pacific,Country,MNG,Mongolia,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPMNG2021,MNG_2021_HSES_v01_M,,14.03,,,,,,14.03,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPMDA2021,MDA_2021_CBGC_v01_M,,14.15,,,,,,14.15,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPIRN2021,IRN_2021_HIES_v01_M,,15.36,,,,,,15.36,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,POL,Poland,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPPOL2021,POL_2021_HBS_v01_M,,16.09,,,,,,16.09,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,BLR,Belarus,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPBLR2021,BLR_2021_SHLSS_v01_M,,16.54,,,,,,16.54,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,ARM,Armenia,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPARM2021,ARM_2021_ILCS_v01_M,,19.89,,,,,,19.89,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,SEAR,South-East Asia,Country,THA,Thailand,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPTHA2021,THA_2021_SES_v01_M,,2.05,,,,,,2.05,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,KAZ,Kazakhstan,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPKAZ2021,KAZ_2021_HBS_v01_M,,3.72,,,,,,3.72,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,GEO,Georgia,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPGEO2021,GEO_2021_HIES_v01_M,,31.41,,,,,,31.41,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,LUX,Luxembourg,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPLUX2021,LUX_2021_HBS_v01_M,,4.34,,,,,,4.34,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,AMR,Americas,Country,USA,United States of America,Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPUSA2021,USA_2021_CES_v01_M_v01_A_PUMD,,4.61,,,,,,4.61,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2021,true,Residence Area Type,Total,TOTL,,,,,,,FPBOL2021,BOL_2021_EH_v01_M,,5.69,,,,,,5.69,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,SEAR,South-East Asia,Country,THA,Thailand,Year,2020,false,Residence Area Type,Total,TOTL,,,,,,,FPTHA2020,THA_2020_SES_v01_M,,1.9,,,,,,1.9,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,WPR,Western Pacific,Country,JPN,Japan,Year,2020,false,Residence Area Type,Total,TOTL,,,,,,,FPJPN2020,JPN_2020_FIES_v01_M,,10.9,,,,,,10.9,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2020,false,Residence Area Type,Total,TOTL,,,,,,,FPMDA2020,MDA_2020_CBGC_v01_M,,11.97,,,,,,11.97,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,BLR,Belarus,Year,2020,false,Residence Area Type,Total,TOTL,,,,,,,FPBLR2020,BLR_2020_SHLSS_v01_M,,13.5,,,,,,13.5,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2020,false,Residence Area Type,Total,TOTL,,,,,,,FPIRN2020,IRN_2020_HIES_v01_M,,13.82,,,,,,13.82,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,WPR,Western Pacific,Country,MNG,Mongolia,Year,2020,false,Residence Area Type,Total,TOTL,,,,,,,FPMNG2020,MNG_2020_HSES_v01_M,,14.71,,,,,,14.71,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,POL,Poland,Year,2020,false,Residence Area Type,Total,TOTL,,,,,,,FPPOL2020,POL_2020_HBS_v01_M,,15.24,,,,,,15.24,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2020,false,Residence Area Type,Total,TOTL,,,,,,,FPIDN2020,IDN_2020_SUSENAS_v01_M,,2.23,,,,,,2.23,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2020,true,Residence Area Type,Total,TOTL,,,,,,,FPGBR2020,GBR_2020_LCFS_v01_M,,2.36,,,,,,2.36,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,ARM,Armenia,Year,2020,false,Residence Area Type,Total,TOTL,,,,,,,FPARM2020,ARM_2020_ILCS_v01_M,,23.18,,,,,,23.18,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,true,Residence Area Type,Total,TOTL,,,,,,,FPAFG2020,AFG_2020_IE&LFS_v01_M,,26.08,,,,,,26.08,,,EN,2023-04-02T22:00:00.000Z
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",text,EUR,Europe,Country,KAZ,Kazakhstan,Year,2020,false,Residence Area Type,Total,TOTL,,,,,,,FPKAZ2020,KAZ_2020_HBS_v01_M,,3.43,,,,,,3.43,,,EN,2023-04-02T22:00:00.000Z
