IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2021,true,,,,,,,,,,,,,44.39,,,,,,44,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2021,true,,,,,,,,,,,,,57.09,,,,,,57,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2021,true,,,,,,,,,,,,,61.54,,,,,,62,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2021,true,,,,,,,,,,,,,67.52,,,,,,68,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2021,true,,,,,,,,,,,,,78.79,,,,,,79,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2021,true,,,,,,,,,,,,,80.02,,,,,,80,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2021,true,,,,,,,,,,,,,81.06,,,,,,81,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2019,false,,,,,,,,,,,,,44.6,,,,,,45,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2019,false,,,,,,,,,,,,,56.93,,,,,,57,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2019,false,,,,,,,,,,,,,61.9,,,,,,62,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2019,false,,,,,,,,,,,,,67.89,,,,,,68,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2019,false,,,,,,,,,,,,,78.83,,,,,,79,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2019,false,,,,,,,,,,,,,80.25,,,,,,80,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2019,false,,,,,,,,,,,,,81.32,,,,,,81,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2017,false,,,,,,,,,,,,,43.7,,,,,,44,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2017,false,,,,,,,,,,,,,55.75,,,,,,56,,,EN,2023-04-30T22:00:00.000Z
