Year,value,category
2001,61625,a
2002,63060,a
2003,64665,a
2004,65666,a
2005,64200,a
2006,62102,a
2007,62194,a
2008,63541,a
2009,64267,a
2010,63536,a
2011,61952,a
2012,64104,a
2013,65663,a
2014,60860,a
2015,61401,a
2016,65059,a
2017,68672,a
2018,70867,a
2019,81492,a
2020,85120,a
2021,86661,a
2022,99943,a
2001,59533,b
2002,60304,b
2003,61579,b
2004,62513,b
2005,61022,b
2006,59284,b
2007,59472,b
2008,60663,b
2009,61537,b
2010,61179,b
2011,60165,b
2012,62401,b
2013,63987,b
2014,59363,b
2015,60142,b
2016,63785,b
2017,67334,b
2018,70114,b
2019,80995,b
2020,84757,b
2021,86384,b
2022,99380,b
2001,26504,c
2002,25837,c
2003,26709,c
2004,27602,c
2005,27118,c
2006,26543,c
2007,26388,c
2008,25832,c
2009,26382,c
2010,26263,c
2011,25355,c
2012,26230,c
2013,25638,c
2014,23534,c
2015,24974,c
2016,27304,c
2017,28043,c
2018,28318,c
2019,28698,c
2020,29866,c
2021,30275,c
2022,32677,c
2001,20705,d
2002,21959,d
2003,21911,d
2004,21591,d
2005,20810,d
2006,20120,d
2007,20536,d
2008,21998,d
2009,21750,d
2010,21199,d
2011,20804,d
2012,21545,d
2013,23343,d
2014,22793,d
2015,22702,d
2016,23365,d
2017,25733,d
2018,26504,d
2019,35351,d
2020,37090,d
2021,39837,d
2022,49834,d
